	Total_counts	X	Y	Annotation
Cell_9	310	4980.7776640043685	-49.771247184108134	eL6-2
Cell_10	533	8729.177424962336	-53.473113918182875	eL4
Cell_13	452	11547.566359203338	-46.31549262675519	eL2/3
Cell_15	288	3280.980263748094	-37.612810621691935	eL6-2
Cell_16	457	7582.7936012936025	-45.350311850311854	eL5
Cell_17	472	4691.683640913357	-50.13700344072568	eL6-1
Cell_20	413	12817.143809250214	-48.9578282102844	eL6-1
Cell_21	535	3426.1749157353197	-91.88149725031045	eL6-2
Cell_22	750	5157.435323646905	-84.1451196662778	eL6-1
Cell_23	304	1480.0390641541394	-61.31039593478721	Micro
Cell_24	462	9461.603944409204	-55.56052130788304	eL4
Cell_25	429	12633.158039509875	-58.75377177627741	eL2/3
Cell_26	290	10688.079207301826	-73.60596399099775	eL2/3
Cell_27	810	12065.723040430503	-73.38752389718898	eL4
Cell_28	470	13121.71030541168	-81.66815502768351	eL2/3
Cell_29	447	4216.013943165919	-74.05760602113186	eL6-1
Cell_30	260	569.0051671412	-78.53595908467784	Endo
Cell_31	243	2851.3394525758704	-89.30364673778219	Oligo
Cell_33	346	1324.5454385139901	-97.24617916764635	Astro-2
Cell_34	445	3272.789499036609	-134.01750160565192	eL6-2
Cell_35	477	9137.065470020189	-125.94064051503081	eL5
Cell_36	308	9265.449904807234	-122.75309376487387	eL4
Cell_37	331	3603.864777989649	-138.48084990465813	eL6-2
Cell_38	417	9856.904745430433	-126.79167387418556	eL4
Cell_40	419	9993.975459803054	-133.46355442088262	eL2/3
Cell_41	413	11006.365663322185	-135.47829931188252	Endo
Cell_42	299	11766.123323096816	-133.09269435914013	eL2/3
Cell_43	517	4510.078200147984	-143.75221975582687	eL5
Cell_44	322	12922.530949105912	-127.16596127393926	eL4
Cell_45	555	13714.760391198044	-154.93925470027818	Micro
Cell_47	375	9423.857943349753	-159.9070197044335	eL4
Cell_48	281	2553.5340472267985	-168.39476935749587	Astro-2
Cell_49	374	6873.3405355916675	-157.09036392767226	eL5
Cell_50	541	7081.700869066164	-173.70480446011314	eL4
Cell_51	319	5523.493848136865	-177.94879306304196	Oligo
Cell_52	544	4053.37271828073	-166.74453736174806	eL6-2
Cell_53	490	6314.988253319714	-157.1312199036918	PVALB
Cell_54	371	1033.0219326128417	-159.98455181182453	eL5
Cell_55	293	2246.444957460054	-187.9717783772567	Oligo
Cell_56	240	2811.9539800995026	-173.63814262023217	Oligo
Cell_57	856	11304.52256939036	-170.8976355876764	eL2/3
Cell_60	603	8723.938967838445	-197.695188232361	eL4
Cell_61	306	10627.521561338292	-188.58451053283767	Micro
Cell_62	699	11822.7615325532	-214.45484118736732	eL2/3
Cell_63	277	934.0705424649491	-184.90604125376203	Endo
Cell_64	593	10469.804669122545	-224.0120278727087	eL2/3
Cell_65	478	5405.77069525377	-217.97807037053508	eL6-2
Cell_67	292	12753.131171506411	-253.0161472523091	eL2/3
Cell_68	349	1346.5820117314795	-255.12280034759942	Astro-2
Cell_69	237	2669.91797211224	-235.11766224823552	Oligo
Cell_70	408	6022.428537635426	-239.60476888867862	eL6-2
Cell_71	371	8838.501323537355	-247.52298633245098	eL4
Cell_72	305	2801.523310572169	-282.032728985166	Oligo
Cell_74	351	3288.2227020357805	-253.98379227188602	eL6-2
Cell_76	277	1020.5396060352052	-297.10435875942994	eL5
Cell_77	618	9739.765544601125	-258.26415020228603	eL4
Cell_78	798	10631.29537489891	-305.8981014364385	eL2/3
Cell_79	567	3603.870642280611	-289.74506268246614	eL6-2
Cell_80	250	6890.985098709189	-292.28753796507215	Astro-2
Cell_81	930	12261.389775603171	-307.4996456892188	eL6-1
Cell_82	333	907.5889338731444	-326.16010796221315	Micro
Cell_85	662	7611.680854533593	-311.77279028049577	eL5
Cell_86	302	1540.9478713179171	-312.2009950811331	Oligo
Cell_87	478	221.481114078596	-311.75810759252187	HPC
Cell_88	417	10343.778746367789	-323.97421705640886	eL2/3
Cell_89	226	2668.301729905381	-324.6981745197362	Oligo
Cell_90	603	13298.490532804932	-341.42092323499185	VIP
Cell_92	271	4919.2073907787935	-341.8150002878029	Oligo
Cell_93	761	8243.81430278756	-347.4145159727381	eL4
